date,feature_index,swi001,swi005,swi010,swi015,swi020,swi040,swi060,swi100
2025-12-31T00:00:00.000Z,0,49.5,54.0,57.0,59.0,60.0,63.0,64.0,63.5
2026-01-20T00:00:00.000Z,0,56.0,51.0,50.5,51.5,52.5,57.0,59.5,60.5
2026-01-31T00:00:00.000Z,0,57.0,55.5,54.0,53.5,54.0,57.0,59.0,60.0
2026-02-10T00:00:00.000Z,0,62.5,60.0,58.0,57.0,56.5,57.5,59.0,60.0
2026-02-20T00:00:00.000Z,0,87.0,80.0,73.0,68.5,66.0,62.5,62.0,62.0
2026-02-28T00:00:00.000Z,0,93.5,89.0,83.0,78.5,74.5,68.5,66.5,64.5
2026-03-10T00:00:00.000Z,0,88.5,90.0,87.5,84.0,80.5,73.0,69.5,66.5
2026-03-20T00:00:00.000Z,0,76.5,79.5,82.0,81.5,80.0,74.5,71.5,68.0
2026-04-10T00:00:00.000Z,0,93.0,93.0,90.5,88.5,86.5,80.5,76.5,72.0
2026-04-20T00:00:00.000Z,0,94.5,94.0,92.5,91.0,89.5,83.0,79.0,73.5
2026-04-30T00:00:00.000Z,0,80.0,84.5,87.0,87.5,87.5,83.5,80.0,75.0
2026-01-10T00:00:00.000Z,0,45.0,47.5,51.0,53.5,55.0,59.5,61.5,61.5
